ocel:eid,ocel:activity,ocel:timestamp,ocel:type:MaintenanceRecord,ocel:type:LogBatch,ocel:type:ProductionBatch,ocel:type:TimberOutput,ocel:type:QualityReport,ocel:type:Mill,CaseID,Mill,LogsProcessed,VolumeM3,ProductionM3,YieldPercent,DowntimeHours,MaintenanceHours,MoistureDefectRate,TwistingDefectRate,BlueStainRate,KnotDefectRate,CrackDefectRate,QualityGradeA,ShiftType,OperatorID,EquipmentStatus,Hour,DayOfWeek,Conformance_Label,Violation_Types
E000000,StartProduction,03/04/2019 00:00,,,BATCH_CASE_0000_000,,,,CASE_0000,R250,189,12.52,6.04,15.84,0.35,0.11,3.58,2.81,1.68,2.25,1.11,92.85,Night,OP_013,Operational,0,0,1,QR-2|TR-2
E000001,ShiftEnd,03/04/2019 04:03,,LOG_R250_001,,,,,CASE_0000,R250,121,16.08,12.49,77.67,0.5,0.02,0.48,3.39,2.41,4.04,2.92,87.01,Night,OP_015,Operational,4,0,1,QR-2|TR-2
E000002,ConveyorMaintenance,03/04/2019 06:27,MR_R250_002,,,,,,CASE_0000,R250,210,40.16,29.07,72.39,0.64,0.39,4.33,1.81,3.34,0.81,2.68,89.16,Day,OP_011,Maintenance,6,0,1,QR-2|TR-2
E000003,QualityInspection,03/04/2019 09:51,,,,,QR_CASE_0000_003,,CASE_0000,R250,186,45.91,15.6,33.98,0.57,0.28,3.2,2.23,2.74,4.21,3.1,80.94,Day,OP_001,Operational,9,0,1,QR-2|TR-2
E000004,StartProduction,03/04/2019 13:35,,,BATCH_CASE_0000_004,,,,CASE_0000,R250,104,55.48,31.18,56.2,0.32,0.08,3.21,0.57,0.56,3.72,2.16,92.95,Day,OP_007,Operational,13,0,1,QR-2|TR-2
E000005,ProcessLogs,03/04/2019 17:39,,,BATCH_CASE_0000_005,,,,CASE_0000,R250,85,34.5,10.35,22.75,0.23,0.02,2.98,1.54,2.38,2.34,1.01,90.79,Day,OP_001,Operational,17,0,1,QR-2|TR-2
E000006,ProcessLogs,03/04/2019 20:39,,,BATCH_CASE_0000_006,,,,CASE_0000,R250,187,47.05,31.65,67.27,0.51,0.07,0.79,0.01,2.89,3.6,3.89,91.97,Night,OP_009,Operational,20,0,1,QR-2|TR-2
E000007,ProcessLogs,03/05/2019 01:15,,,BATCH_CASE_0000_007,,,,CASE_0000,R250,213,34.4,12.36,35.93,0.56,0.05,4.77,3.69,3.67,2.99,1.95,77.75,Night,OP_006,Operational,1,1,1,QR-2|TR-2
E000008,LogShortage,03/05/2019 05:43,,LOG_R250_008,,,,,CASE_0000,R250,111,11.01,8.07,73.3,1.42,0.06,2.43,0.28,3.04,3.83,0.51,90.12,Night,OP_009,Operational,5,1,1,QR-2|TR-2
E000009,StartProduction,03/05/2019 07:21,,,BATCH_CASE_0000_009,,,,CASE_0000,R250,158,58.15,44.25,76.1,1.13,0.39,3.56,1.6,2.69,1.87,3.6,85.98,Day,OP_004,Operational,7,1,1,QR-2|TR-2
E000010,QualitySorting,03/05/2019 08:59,,,,,QR_CASE_0000_010,,CASE_0000,R250,191,19.97,7.41,21.37,0.09,0.0,1.19,0.86,0.53,4.68,1.89,94.65,Day,OP_013,Operational,8,1,1,QR-2|TR-2
E000011,ProcessLogs,03/05/2019 11:00,,,BATCH_CASE_0000_011,,,,CASE_0000,R250,160,26.42,12.58,21.06,1.48,0.07,1.7,3.45,0.99,0.95,1.79,90.98,Day,OP_005,Operational,11,1,1,QR-2|TR-2
E000012,ConveyorMaintenance,03/05/2019 14:02,MR_R250_012,,,,,,CASE_0000,R250,163,50.02,36.05,72.07,0.79,0.65,2.7,0.06,0.37,3.77,0.95,92.05,Day,OP_008,Maintenance,14,1,1,QR-2|TR-2
E000013,LogShortage,03/05/2019 15:42,,LOG_R250_013,,,,,CASE_0000,R250,92,27.71,21.94,79.18,0.4,0.16,2.28,1.69,3.83,4.98,2.22,86.9,Day,OP_003,Operational,15,1,1,QR-2|TR-2
E000014,ProcessLogs,03/05/2019 17:05,,,BATCH_CASE_0000_014,,,,CASE_0000,R250,198,46.26,13.12,28.36,0.47,0.01,2.38,3.68,2.12,0.28,2.03,93.78,Day,OP_002,Operational,17,1,1,QR-2|TR-2
E000015,ProcessLogs,03/05/2019 20:23,,,BATCH_CASE_0000_015,,,,CASE_0000,R250,153,14.23,10.53,74.0,0.37,0.11,3.1,1.68,2.33,2.61,3.74,83.09,Night,OP_012,Operational,20,1,1,QR-2|TR-2
E000016,ProcessLogs,03/05/2019 22:15,,,BATCH_CASE_0000_016,,,,CASE_0000,R250,215,23.6,10.0,15.08,0.93,0.26,1.33,3.52,3.52,12.77,3.33,75.37,Night,OP_010,Operational,22,1,1,QR-2|TR-2
E000017,ShiftEnd,03/06/2019 03:03,,LOG_R250_017,,,,,CASE_0000,R250,52,42.73,23.72,55.51,1.4,0.07,4.39,1.06,3.56,3.71,0.62,84.09,Night,OP_004,Operational,3,2,1,QR-2|TR-2
E000018,StartProduction,03/06/2019 06:16,,,BATCH_CASE_0000_018,,,,CASE_0000,R250,117,34.28,13.3,38.8,1.36,0.03,3.17,3.32,0.18,1.67,0.52,95.0,Day,OP_003,Operational,6,2,1,QR-2|TR-2
E000019,ProductionComplete,03/06/2019 09:57,,,BATCH_CASE_0000_019,,,,CASE_0000,R250,193,8.5,2.48,29.18,1.32,0.6,2.73,3.34,2.33,0.74,0.51,88.81,Day,OP_015,Operational,9,2,1,QR-2|TR-2
E000020,ShiftEnd,03/06/2019 14:38,,LOG_R250_020,,,,,CASE_0000,R250,141,18.92,7.33,18.18,0.84,0.37,3.75,3.7,0.95,0.81,3.2,84.06,Day,OP_007,Operational,14,2,1,QR-2|TR-2
E000021,QualitySorting,03/06/2019 16:00,,,,,QR_CASE_0000_021,,CASE_0000,R250,155,49.72,36.06,72.53,1.22,0.16,3.94,0.43,3.49,4.29,0.89,90.33,Day,OP_008,Operational,16,2,1,QR-2|TR-2
E000022,ProcessLogs,03/06/2019 18:36,,,BATCH_CASE_0000_022,,,,CASE_0000,R250,108,19.59,12.01,61.31,0.6,0.08,0.35,3.09,1.4,2.55,2.72,94.15,Night,OP_006,Operational,18,2,1,QR-2|TR-2
E000023,StartProduction,11/01/2021 00:00,,,BATCH_CASE_0001_000,,,,CASE_0001,R250,130,30.69,24.29,18.47,0.86,0.11,0.01,3.7,2.15,3.6,2.97,89.46,Night,OP_006,Operational,0,0,1,QR-2|TR-2
E000024,ShiftEnd,11/01/2021 02:42,,LOG_R250_001,,,,,CASE_0001,R250,209,24.32,17.42,71.63,1.08,0.16,1.55,1.63,1.61,1.48,0.51,93.49,Night,OP_007,Operational,2,0,1,QR-2|TR-2
E000025,ShiftEnd,11/01/2021 06:31,,LOG_R250_002,,,,,CASE_0001,R250,195,23.65,13.04,17.73,0.32,0.13,1.61,1.77,2.7,2.56,3.17,93.39,Day,OP_012,Operational,6,0,1,QR-2|TR-2
