Case ID,Activity,Timestamp,Object _type,Attributes
TC_00220,CoatSurface,2024-03-18 06:34:00,Tube,Batch:6890
TC_00101,CutTube,2024-02-17 09:11:00,Pallet,Batch:6890
TC_00381,ShipOrder,2024-03-11 17:53:00,Batch,Diam:13mm
TC_00420,CoatSurface,2024-02-15 00:45:00,Batch,Diam:13mm
TC_00464,ReworkWeld,2024-02-27 22:44:00,Batch,Batch:6890
TC_00273,CoatSurface,2024-02-10 12:59:00,Tube,Diam:13mm
TC_00278,HoldQA,2024-01-06 17:50:00,Pallet,Batch:6890
TC_00139,ShipOrder,2024-01-15 20:53:00,Pallet,Batch:6890
TC_00178,CutTube,2024-03-28 08:42:00,Batch,Batch:6890
TC_00339,ReworkWeld,2024-03-09 09:22:00,Tube,Len:409cm
TC_00234,CoatSurface,2024-01-04 22:36:00,Batch,Diam:13mm
TC_00372,ShipOrder,2024-03-24 00:39:00,Pallet,Len:409cm
TC_00484,CoatSurface,2024-01-30 07:46:00,Pallet,Len:409cm
TC_00039,CoatSurface,2024-03-12 14:40:00,Tube,Len:409cm
TC_00065,ShipOrder,2024-02-12 19:31:00,Tube,Diam:13mm
TC_00283,ShipOrder,2024-03-25 15:03:00,Batch,Diam:13mm
TC_00417,ShipOrder,2024-03-04 00:34:00,Tube,Diam:13mm
TC_00384,ReworkWeld,2024-02-09 04:04:00,Pallet,Batch:6890
TC_00194,HoldQA,2024-01-26 22:47:00,Tube,Batch:6890
TC_00319,WeldJoint,2024-03-15 22:42:00,Tube,Batch:6890
TC_00004,ReworkWeld,2024-03-11 19:45:00,Pallet,Len:409cm
TC_00236,ShipOrder,2024-01-25 22:34:00,Pallet,Len:409cm
TC_00230,PackBox,2024-02-21 04:28:00,Tube,Diam:13mm
TC_00123,CutTube,2024-02-09 13:33:00,Pallet,Len:409cm
TC_00236,ReworkWeld,2024-02-20 20:54:00,Tube,Batch:6890
TC_00288,ShipOrder,2024-02-20 21:12:00,Batch,Diam:13mm
TC_00280,ReworkWeld,2024-01-28 08:31:00,Batch,Diam:13mm
TC_00174,CoatSurface,2024-03-29 10:42:00,Tube,Diam:13mm
TC_00205,HoldQA,2024-03-17 19:21:00,Tube,Diam:13mm
TC_00411,CutTube,2024-03-18 00:14:00,Tube,Batch:6890
TC_00147,CoatSurface,2024-02-29 13:44:00,Tube,Len:409cm
TC_00253,ReworkWeld,2024-03-30 15:35:00,Batch,Len:409cm
TC_00204,CoatSurface,2024-03-14 06:17:00,Tube,Diam:13mm
TC_00168,CutTube,2024-01-10 13:16:00,Tube,Batch:6890
TC_00362,ShipOrder,2024-02-11 13:39:00,Pallet,Diam:13mm
TC_00451,PackBox,2024-03-25 10:11:00,Tube,Len:409cm
TC_00349,CoatSurface,2024-02-10 03:41:00,Tube,Len:409cm
TC_00120,InspectVision,2024-03-02 12:47:00,Batch,Len:409cm
TC_00181,HoldQA,2024-01-08 21:19:00,Batch,Diam:13mm
TC_00170,HoldQA,2024-02-02 23:07:00,Pallet,Len:409cm
TC_00350,CoatSurface,2024-01-24 22:16:00,Pallet,Batch:6890
TC_00132,ReworkWeld,2024-01-24 12:03:00,Pallet,Batch:6890
TC_00225,ShipOrder,2024-01-25 12:02:00,Tube,Diam:13mm
TC_00224,HoldQA,2024-01-12 11:33:00,Batch,Batch:6890
TC_00102,ShipOrder,2024-01-28 12:51:00,Pallet,Len:409cm
TC_00274,WeldJoint,2024-02-11 16:31:00,Pallet,Diam:13mm
TC_00380,CoatSurface,2024-03-05 18:02:00,Batch,Len:409cm
TC_00155,ShipOrder,2024-01-13 14:53:00,Batch,Diam:13mm
TC_00325,ShipOrder,2024-01-08 14:23:00,Pallet,Len:409cm
TC_00394,CutTube,2024-01-17 03:37:00,Batch,Diam:13mm
TC_00165,ShipOrder,2024-01-14 00:10:00,Pallet,Diam:13mm
TC_00088,PackBox,2024-03-12 09:55:00,Tube,Diam:13mm
TC_00463,HoldQA,2024-02-22 07:05:00,Batch,Len:409cm
TC_00307,PackBox,2024-01-27 12:39:00,Tube,Diam:13mm
TC_00480,CoatSurface,2024-02-13 09:46:00,Batch,Batch:6890
TC_00033,CutTube,2024-01-25 19:49:00,Batch,Batch:6890
TC_00246,CoatSurface,2024-03-25 09:42:00,Tube,Len:409cm
TC_00272,CoatSurface,2024-03-13 16:24:00,Tube,Batch:6890
TC_00166,PackBox,2024-02-16 20:39:00,Pallet,Len:409cm
TC_00143,CutTube,2024-02-02 17:32:00,Pallet,Diam:13mm
TC_00449,PackBox,2024-01-13 14:56:00,Tube,Len:409cm
TC_00158,CutTube,2024-02-29 22:32:00,Pallet,Diam:13mm
TC_00141,WeldJoint,2024-02-29 08:21:00,Pallet,Batch:6890
TC_00470,ReworkWeld,2024-01-29 20:40:00,Tube,Len:409cm
TC_00459,HoldQA,2024-01-21 17:15:00,Tube,Diam:13mm
TC_00071,PackBox,2024-02-19 05:05:00,Batch,Diam:13mm
TC_00415,CoatSurface,2024-03-13 17:49:00,Pallet,Diam:13mm
TC_00102,HoldQA,2024-02-27 03:14:00,Tube,Len:409cm
TC_00258,HoldQA,2024-01-24 00:53:00,Pallet,Batch:6890
TC_00091,WeldJoint,2024-02-17 23:37:00,Tube,Diam:13mm
TC_00218,HoldQA,2024-03-30 07:31:00,Tube,Batch:6890
TC_00046,ShipOrder,2024-03-17 02:35:00,Pallet,Diam:13mm
TC_00447,CutTube,2024-02-16 16:44:00,Batch,Diam:13mm
TC_00012,ReworkWeld,2024-01-31 04:51:00,Batch,Len:409cm
TC_00187,HoldQA,2024-01-09 12:02:00,Pallet,Batch:6890
TC_00190,InspectVision,2024-01-01 11:27:00,Pallet,Batch:6890
TC_00121,CutTube,2024-01-12 01:09:00,Tube,Batch:6890
TC_00446,WeldJoint,2024-03-08 04:57:00,Tube,Len:409cm
TC_00300,ShipOrder,2024-03-19 17:03:00,Tube,Diam:13mm
TC_00141,InspectVision,2024-03-30 19:44:00,Pallet,Diam:13mm
TC_00486,CoatSurface,2024-02-15 01:36:00,Batch,Diam:13mm
TC_00468,CutTube,2024-01-16 16:26:00,Tube,Diam:13mm
TC_00066,CutTube,2024-03-01 23:44:00,Pallet,Diam:13mm
TC_00149,PackBox,2024-03-24 11:24:00,Pallet,Batch:6890
TC_00291,CoatSurface,2024-01-18 23:30:00,Pallet,Batch:6890
TC_00013,ShipOrder,2024-01-08 14:16:00,Pallet,Batch:6890
TC_00066,CoatSurface,2024-01-12 03:18:00,Batch,Batch:6890
TC_00041,CoatSurface,2024-03-28 13:56:00,Tube,Diam:13mm
TC_00245,PackBox,2024-02-29 15:47:00,Tube,Batch:6890
TC_00261,InspectVision,2024-03-27 10:12:00,Pallet,Len:409cm
TC_00013,PackBox,2024-02-19 23:13:00,Tube,Len:409cm
TC_00421,CutTube,2024-03-06 02:22:00,Tube,Batch:6890
TC_00210,CutTube,2024-03-27 23:03:00,Tube,Len:409cm
TC_00091,HoldQA,2024-03-07 10:46:00,Pallet,Len:409cm
TC_00234,ShipOrder,2024-03-11 15:05:00,Pallet,Diam:13mm
TC_00332,CutTube,2024-01-26 21:55:00,Pallet,Diam:13mm
TC_00399,CoatSurface,2024-01-21 22:30:00,Batch,Len:409cm
