ts_hour_tz,time_index,S1_201,S2_201,S3_201
2024-01-01 00:00:00,E000001,19.334,101.902,39.092
2024-01-01 01:00:00,E000002,20.965,98.994,44.639
2024-01-01 02:00:00,E000003,20.809,95.885,45.643
2024-01-01 03:00:00,E000004,25.916,101.955,40.426
2024-01-01 04:00:00,E000005,22.106,90.842,43.954
2024-01-01 05:00:00,E000006,21.219,96.539,39.359
2024-01-01 06:00:00,E000007,21.187,106.362,53.19
2024-01-01 07:00:00,E000008,19.53,98.658,41.306
2024-01-01 08:00:00,E000009,25.091,102.042,45.696
2024-01-01 09:00:00,E000010,24.216,98.258,55.229
2024-01-01 10:00:00,E000011,22.494,96.935,43.278
2024-01-01 11:00:00,E000012,26.442,99.132,52.122
2024-01-01 12:00:00,E000013,20.499,97.395,49.947
2024-01-01 13:00:00,E000014,19.703,105.495,47.637
2024-01-01 14:00:00,E000015,19.704,100.936,40.884
2024-01-01 15:00:00,E000016,23.617,110.928,42.22
2024-01-01 16:00:00,E000017,24.208,101.425,45.18
2024-01-01 17:00:00,E000018,21.971,96.927,47.514
2024-01-01 18:00:00,E000019,21.576,96.686,52.606
2024-01-01 19:00:00,E000020,22.817,100.137,55.05
2024-01-01 20:00:00,E000021,16.625,107.791,38.399
2024-01-01 21:00:00,E000022,23.177,98.301,38.077
2024-01-01 22:00:00,E000023,26.704,110.767,43.341
2024-01-01 23:00:00,E000024,23.574,101.591,57.979
2024-01-02 00:00:00,E000025,15.738,103.223,39.547
2024-01-02 01:00:00,E000026,14.961,99.461,58.86
2024-01-02 02:00:00,E000027,20.401,105.333,53.99
2024-01-02 03:00:00,E000028,22.459,101.914,32.128
2024-01-02 04:00:00,E000029,20.208,105.926,45.455
2024-01-02 05:00:00,E000030,23.675,101.979,61.44
2024-01-02 06:00:00,E000031,21.122,109.488,46.001
2024-01-02 07:00:00,E000032,27.921,95.053,46.385
2024-01-02 08:00:00,E000033,21.24,102.011,54.168
2024-01-02 09:00:00,E000034,23.712,107.524,39.973
2024-01-02 10:00:00,E000035,19.867,101.382,44.71
2024-01-02 11:00:00,E000036,21.905,96.411,53.99
